num_de_region,chr_vector_t,chr_eigen,tipo_f,x_desp
1,H,P,sin,2
2,F,Q,sin,0
3,G,Q,cos,0
4,H,P,sin,2
5,F,Q,sin,0
6,I,R,cos,0
7,J,W,sin,1
8,L,Z,sin,2
9,B,T,sin,3
10,A,U,cos,0
