y,xi,xf,region_inferior,region_superior
1,0,4,R1,R2
2,0,1,R2,R3
2,2,3,R2,R5
2,3,4,R2,R6
3,0,1,R3,R7
3,1,2,R4,R7
3,2,3,R5,R8
4,0,2,R7,R9
4,3,4,R8,R10
5,0,2,R9,R11
5,2,3,R9,R12
