xi,xf,tipo_1,chr_eigen_1,desp_1,tipo_2,chr_eigen_2,desp_2
0,4,sin,A,0,cos,B,0
0,1,cos,C,0,cos,B,0
2,3,sin,E,2,cos,B,0
3,4,sin,F,3,cos,B,0
0,1,cos,C,0,sin,G,0
1,2,sin,D,1,sin,G,0
2,3,sin,E,2,sin,H,2
0,2,sin,G,0,sin,I,0
3,4,sin,F,3,sin,H,2
2,3,sin,E,2,sin,I,0
