chr_eigen,yi,yf,tipo,divisor
A,0,1,tanh,1
D,1,2,coth,2
D,1,2,tanh,2
B,0,1,tanh,1
C,0,1,tanh,1
F,2,4,coth,2
F,2,4,tanh,2
G,2,3,coth,1
E,2,4,coth,1
I,4,5,coth,2
I,4,5,tanh,2
G,3,4,coth,1
J,5,6,coth,2
J,5,6,tanh,2
K,6,7,tanh,1
Z,6,7,tanh,1
