,Pn,Qn,Rn,Wn,Zn,Tn,Un
1,1.5707963267948966,0.2617993877991494,1.5707963267948966,3.141592653589793,1.5707963267948966,1.5707963267948966,0.5235987755982988
2,3.141592653589793,0.7853981633974483,4.71238898038469,6.283185307179586,4.71238898038469,3.141592653589793,1.0471975511965976
3,4.71238898038469,1.3089969389957472,7.853981633974483,9.42477796076938,7.853981633974483,4.71238898038469,1.5707963267948966
4,6.283185307179586,1.832595714594046,10.995574287564276,12.566370614359172,10.995574287564276,6.283185307179586,2.0943951023931953
5,7.853981633974483,2.356194490192345,14.137166941154069,15.707963267948966,14.137166941154069,7.853981633974483,2.6179938779914944
6,9.42477796076938,2.8797932657906435,17.27875959474386,18.84955592153876,17.27875959474386,9.42477796076938,3.141592653589793
7,10.995574287564276,3.4033920413889427,20.420352248333657,21.991148575128552,20.420352248333657,10.995574287564276,3.665191429188092
8,12.566370614359172,3.926990816987241,23.561944901923447,25.132741228718345,23.561944901923447,12.566370614359172,4.1887902047863905
9,14.137166941154069,4.4505895925855405,26.703537555513243,28.274333882308138,26.703537555513243,14.137166941154069,4.71238898038469
10,15.707963267948966,4.974188368183839,29.845130209103033,31.41592653589793,29.845130209103033,15.707963267948966,5.235987755982989
11,17.27875959474386,5.497787143782138,32.98672286269283,34.55751918948772,32.98672286269283,17.27875959474386,5.759586531581287
12,18.84955592153876,6.021385919380436,36.12831551628262,37.69911184307752,36.12831551628262,18.84955592153876,6.283185307179586
13,20.420352248333657,6.544984694978736,39.269908169872416,40.840704496667314,39.269908169872416,20.420352248333657,6.806784082777885
14,21.991148575128552,7.0685834705770345,42.411500823462205,43.982297150257104,42.411500823462205,21.991148575128552,7.330382858376184
15,23.561944901923447,7.592182246175334,45.553093477052,47.12388980384689,45.553093477052,23.561944901923447,7.853981633974482
16,25.132741228718345,8.115781021773632,48.69468613064179,50.26548245743669,48.69468613064179,25.132741228718345,8.377580409572781
17,26.703537555513243,8.639379797371932,51.83627878423159,53.40707511102649,51.83627878423159,26.703537555513243,8.901179185171081
18,28.274333882308138,9.16297857297023,54.97787143782138,56.548667764616276,54.97787143782138,28.274333882308138,9.42477796076938
19,29.845130209103033,9.686577348568528,58.119464091411174,59.690260418206066,58.119464091411174,29.845130209103033,9.948376736367678
20,31.41592653589793,10.210176124166827,61.261056745000964,62.83185307179586,61.261056745000964,31.41592653589793,10.471975511965978
21,32.98672286269283,10.733774899765125,64.40264939859075,65.97344572538566,64.40264939859075,32.98672286269283,10.995574287564276
22,34.55751918948772,11.257373675363425,67.54424205218055,69.11503837897544,67.54424205218055,34.55751918948772,11.519173063162574
23,36.12831551628262,11.780972450961725,70.68583470577035,72.25663103256524,70.68583470577035,36.12831551628262,12.042771838760872
24,37.69911184307752,12.304571226560023,73.82742735936014,75.39822368615503,73.82742735936014,37.69911184307752,12.566370614359172
25,39.269908169872416,12.828170002158322,76.96902001294993,78.53981633974483,76.96902001294993,39.269908169872416,13.089969389957473
26,40.840704496667314,13.35176877775662,80.11061266653972,81.68140899333463,80.11061266653972,40.840704496667314,13.61356816555577
27,42.411500823462205,13.87536755335492,83.25220532012952,84.82300164692441,83.25220532012952,42.411500823462205,14.137166941154069
28,43.982297150257104,14.39896632895322,86.39379797371932,87.96459430051421,86.39379797371932,43.982297150257104,14.660765716752367
29,45.553093477052,14.922565104551516,89.5353906273091,91.106186954104,89.5353906273091,45.553093477052,15.184364492350667
30,47.12388980384689,15.446163880149816,92.6769832808989,94.24777960769379,92.6769832808989,47.12388980384689,15.707963267948964
31,48.69468613064179,15.969762655748115,95.81857593448869,97.38937226128358,95.81857593448869,48.69468613064179,16.231562043547264
32,50.26548245743669,16.493361431346415,98.96016858807849,100.53096491487338,98.96016858807849,50.26548245743669,16.755160819145562
33,51.83627878423159,17.016960206944713,102.10176124166827,103.67255756846318,102.10176124166827,51.83627878423159,17.278759594743864
34,53.40707511102649,17.54055898254301,105.24335389525807,106.81415022205297,105.24335389525807,53.40707511102649,17.802358370342162
35,54.97787143782138,18.06415775814131,108.38494654884786,109.95574287564276,108.38494654884786,54.97787143782138,18.32595714594046
36,56.548667764616276,18.58775653373961,111.52653920243766,113.09733552923255,111.52653920243766,56.548667764616276,18.84955592153876
37,58.119464091411174,19.111355309337906,114.66813185602744,116.23892818282235,114.66813185602744,58.119464091411174,19.373154697137057
38,59.690260418206066,19.634954084936208,117.80972450961724,119.38052083641213,117.80972450961724,59.690260418206066,19.896753472735355
39,61.261056745000964,20.158552860534506,120.95131716320704,122.52211349000193,120.95131716320704,61.261056745000964,20.420352248333653
40,62.83185307179586,20.682151636132804,124.09290981679683,125.66370614359172,124.09290981679683,62.83185307179586,20.943951023931955
41,64.40264939859075,21.205750411731103,127.23450247038662,128.8052987971815,127.23450247038662,64.40264939859075,21.46754979953025
42,65.97344572538566,21.729349187329404,130.37609512397643,131.94689145077132,130.37609512397643,65.97344572538566,21.991148575128552
43,67.54424205218055,22.252947962927703,133.5176877775662,135.0884841043611,133.5176877775662,67.54424205218055,22.51474735072685
44,69.11503837897544,22.776546738525997,136.659280431156,138.23007675795088,136.659280431156,69.11503837897544,23.03834612632515
45,70.68583470577035,23.3001455141243,139.8008730847458,141.3716694115407,139.8008730847458,70.68583470577035,23.56194490192345
46,72.25663103256524,23.823744289722598,142.94246573833559,144.51326206513048,142.94246573833559,72.25663103256524,24.085543677521745
47,73.82742735936014,24.347343065320896,146.08405839192537,147.6548547187203,146.08405839192537,73.82742735936014,24.609142453120047
