chr_eigen,yi,yf,tipo,divisor
A,0,1,tanh,1
B,1,2,coth,2
B,1,2,tanh,2
C,2,3,coth,2
C,2,3,tanh,2
E,2,3,coth,2
E,2,3,tanh,2
F,2,3,coth,1
G,3,4,coth,2
G,3,4,tanh,2
D,2,3,coth,1
H,3,4,coth,2
H,3,4,tanh,2
I,4,5,coth,2
I,4,5,tanh,2
F,4,6,tanh,1
G,5,6,coth,1
E,5,6,tanh,1
