C1,C2,C3
C2,C3,C4,C5
C2,C3,C7,C8
C2,C3,C9
C4,C5,C10,C11
C6,C10,C11
C7,C8,C12,C13
C10,C11,C14,C15
C12,C13,C16
C14,C15,C17
C14,C15,C18
C1,C2,C3
C2,C3,C4,C5,C7,C8,C9
C4,C5,C6,C10,C11
C7,C8,C12,C13
C10,C11,C14,C15
C12,C13,C16,
C14,C15,C17,C18
