xi,xf,tipo,por_partes,ca,cb,chr_eigen
0,4,cos,no,0,0,B
0,4,cos,si,0,4,B
0,2,sin,no,0,0,G
0,2,sin,si,0,2,G
2,3,sin,no,0,0,I
0,3,sin,si,0,3,I
0,2,sin,si,0,2,I
3,4,sin,si,3,4,H
2,3,sin,si,2,3,I
