chr_eigen,yi,yf,tipo,divisor
P,0,1,coth,1
Q,1,2,coth,2
Q,1,2,tanh,2
Q,2,3,coth,2
Q,2,3,tanh,2
P,3,4,coth,2
P,3,4,tanh,2
Q,4,5,coth,2
Q,4,5,tanh,2
W,5,6,coth,1
T,5,6,coth,2
T,5,6,tanh,2
R,5,6,coth,1
U,6,7,coth,1
Z,5,6,coth,1
